SIGLO,AÑO,CALIDADES,GENERO,TOTAL
XVII,1641,SIN_CATEGORÍA,M,0
XVII,1642,CASTIZA,F,0
XVII,1642,CASTIZA,M,0
XVII,1642,ESPAÑOLA,F,1
XVII,1642,ESPAÑOLA,M,1
XVII,1642,INDIA,F,4
XVII,1642,INDIA,M,5
XVII,1642,MESTIZA,F,1
XVII,1642,MESTIZA,M,0
XVII,1642,MORISCA,F,0
XVII,1642,MORISCA,M,0
XVII,1642,MULATA,F,0
XVII,1642,MULATA,M,0
XVII,1642,NEGRA,F,0
XVII,1642,NEGRA,M,0
XVII,1642,SIN_CATEGORÍA,F,0
XVII,1642,SIN_CATEGORÍA,M,0
XVII,1643,CASTIZA,F,0
XVII,1643,CASTIZA,M,0
XVII,1643,ESPAÑOLA,F,0
XVII,1643,ESPAÑOLA,M,3
XVII,1643,INDIA,F,8
XVII,1643,INDIA,M,9
XVII,1643,MESTIZA,F,1
XVII,1643,MESTIZA,M,0
XVII,1643,MORISCA,F,0
XVII,1643,MORISCA,M,0
XVII,1643,MULATA,F,1
XVII,1643,MULATA,M,3
XVII,1643,NEGRA,F,2
XVII,1643,NEGRA,M,0
XVII,1643,SIN_CATEGORÍA,F,1
XVII,1643,SIN_CATEGORÍA,M,2
XVII,1644,CASTIZA,F,0
XVII,1644,CASTIZA,M,0
XVII,1644,ESPAÑOLA,F,1
XVII,1644,ESPAÑOLA,M,0
XVII,1644,INDIA,F,2
XVII,1644,INDIA,M,5
XVII,1644,MESTIZA,F,1
XVII,1644,MESTIZA,M,0
XVII,1644,MORISCA,F,0
XVII,1644,MORISCA,M,0
XVII,1644,MULATA,F,1
XVII,1644,MULATA,M,2
XVII,1644,NEGRA,F,0
XVII,1644,NEGRA,M,0
XVII,1644,SIN_CATEGORÍA,F,0
XVII,1644,SIN_CATEGORÍA,M,0
XVII,1645,CASTIZA,F,0
XVII,1645,CASTIZA,M,0
XVII,1645,ESPAÑOLA,F,3
XVII,1645,ESPAÑOLA,M,1
XVII,1645,INDIA,F,9
XVII,1645,INDIA,M,2
XVII,1645,MESTIZA,F,1
XVII,1645,MESTIZA,M,0
XVII,1645,MORISCA,F,0
XVII,1645,MORISCA,M,0
XVII,1645,MULATA,F,1
XVII,1645,MULATA,M,0
XVII,1645,NEGRA,F,1
XVII,1645,NEGRA,M,0
XVII,1645,SIN_CATEGORÍA,F,0
XVII,1645,SIN_CATEGORÍA,M,0
XVII,1646,CASTIZA,F,0
XVII,1646,CASTIZA,M,0
XVII,1646,ESPAÑOLA,F,2
XVII,1646,ESPAÑOLA,M,5
XVII,1646,INDIA,F,1
XVII,1646,INDIA,M,5
XVII,1646,MESTIZA,F,1
XVII,1646,MESTIZA,M,1
XVII,1646,MORISCA,F,0
XVII,1646,MORISCA,M,0
XVII,1646,MULATA,F,1
XVII,1646,MULATA,M,1
XVII,1646,NEGRA,F,2
XVII,1646,NEGRA,M,0
XVII,1646,SIN_CATEGORÍA,F,0
XVII,1646,SIN_CATEGORÍA,M,0
XVII,1647,CASTIZA,F,0
XVII,1647,CASTIZA,M,0
XVII,1647,ESPAÑOLA,F,3
XVII,1647,ESPAÑOLA,M,2
XVII,1647,INDIA,F,2
XVII,1647,INDIA,M,6
XVII,1647,MESTIZA,F,3
XVII,1647,MESTIZA,M,1
XVII,1647,MORISCA,F,0
XVII,1647,MORISCA,M,0
XVII,1647,MULATA,F,1
XVII,1647,MULATA,M,1
XVII,1647,NEGRA,F,0
XVII,1647,NEGRA,M,0
XVII,1647,SIN_CATEGORÍA,F,0
XVII,1647,SIN_CATEGORÍA,M,1
